                                          accuracy      precision         recall       macro_f1
model                                                                                          
CLIP-ViT-B-16-DataComp.XL-s13B-b90K  0.896 (0.014)  0.894 (0.019)  0.896 (0.012)  0.892 (0.017)
CLIP-ViT-L-14-DataComp.XL-s13B-b90K  0.919 (0.016)  0.919 (0.019)  0.920 (0.015)  0.918 (0.017)
CLIP-ViT-bigG-14-laion2B-39B-b160k   0.956 (0.005)  0.952 (0.006)  0.958 (0.006)  0.955 (0.006)
dinov2-base                          0.883 (0.009)  0.881 (0.008)  0.879 (0.007)  0.878 (0.008)
dinov2-giant                         0.893 (0.015)  0.886 (0.017)  0.892 (0.013)  0.888 (0.015)
eva02_clip_336                       0.928 (0.007)  0.926 (0.009)  0.930 (0.007)  0.927 (0.008)
siglip-base-patch16-224              0.907 (0.014)  0.902 (0.014)  0.907 (0.013)  0.903 (0.014)
siglip-large-patch16-384             0.946 (0.015)  0.944 (0.013)  0.942 (0.017)  0.942 (0.015)
siglip-so400m-patch14-384            0.960 (0.017)  0.957 (0.018)  0.963 (0.014)  0.959 (0.017)
