,name,revision,release_date,languages,loader,n_parameters,memory_usage_mb,max_tokens,embed_dim,license,open_weights,public_training_code,public_training_data,framework,reference,similarity_fn_name,use_instructions,training_datasets,adapted_from,superseded_by,is_cross_encoder,modalities
0,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,bc7788f151930d91b58474715fdce5524ad9a189,2023-01-23,['eng-Latn'],"functools.partial(<function openclip_loader at 0x7f7d686dfb00>, model_name='laion/CLIP-ViT-bigG-14-laion2B-39B-b160k')",2540000000,9689.0,77.0,1280,mit,True,https://github.com/mlfoundations/open_clip,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,,False,{},,,,"['image', 'text']"
1,google/siglip-so400m-patch14-384,9fdffc58afc957d1a03a25b10dba0329ab15c2a3,2024-01-08,['eng-Latn'],"functools.partial(<class 'mteb.models.siglip_models.SiglipModelWrapper'>, model_name='google/siglip-so400m-patch14-384')",878000000,3349.0,64.0,1152,apache-2.0,True,https://github.com/google-research/big_vision/blob/main/big_vision/trainers/proj/image_text/siglip.py,,['PyTorch'],https://huggingface.co/google/siglip-so400m-patch14-384,,False,{},,,,"['image', 'text']"
2,google/siglip-large-patch16-384,ce005573a40965dfd21fd937fbdeeebf2439fc35,2024-01-08,['eng-Latn'],"functools.partial(<class 'mteb.models.siglip_models.SiglipModelWrapper'>, model_name='google/siglip-large-patch16-384')",652000000,2489.0,64.0,1024,apache-2.0,True,https://github.com/google-research/big_vision/blob/main/big_vision/trainers/proj/image_text/siglip.py,,['PyTorch'],https://huggingface.co/google/siglip-large-patch16-384,,False,{},,,,"['image', 'text']"
3,laion/CLIP-ViT-g-14-laion2B-s34B-b88K,15efd0f6ac0c40c0f9da7becca03c974d7012604,2023-03-06,['eng-Latn'],"functools.partial(<function openclip_loader at 0x7f7d686dfb00>, model_name='laion/CLIP-ViT-g-14-laion2B-s34B-b88K')",1367000000,5215.0,77.0,1024,mit,True,https://github.com/mlfoundations/open_clip,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-g-14-laion2B-s34B-b88K,,False,{},,,,"['image', 'text']"
4,google/siglip-large-patch16-256,d0da9f876e7d66b4e250cd2450c3ba2ce735e447,2024-01-08,['eng-Latn'],"functools.partial(<class 'mteb.models.siglip_models.SiglipModelWrapper'>, model_name='google/siglip-large-patch16-256')",652000000,2488.0,64.0,1024,apache-2.0,True,https://github.com/google-research/big_vision/blob/main/big_vision/trainers/proj/image_text/siglip.py,,['PyTorch'],https://huggingface.co/google/siglip-large-patch16-256,,False,{},,,,"['image', 'text']"
5,laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K,84c9828e63dc9a9351d1fe637c346d4c1c4db341,2023-04-26,['eng-Latn'],"functools.partial(<function openclip_loader at 0x7f7d686dfb00>, model_name='laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K')",428000000,1633.0,77.0,768,mit,True,https://github.com/mlfoundations/open_clip,https://huggingface.co/datasets/mlfoundations/datacomp_1b,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K,,False,{},,,,"['image', 'text']"
6,laion/CLIP-ViT-H-14-laion2B-s32B-b79K,de081ac0a0ca8dc9d1533eed1ae884bb8ae1404b,2022-09-15,['eng-Latn'],"functools.partial(<function openclip_loader at 0x7f7d686dfb00>, model_name='laion/CLIP-ViT-H-14-laion2B-s32B-b79K')",986000000,3762.0,77.0,1024,mit,True,https://github.com/mlfoundations/open_clip,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-H-14-laion2B-s32B-b79K,,False,{},,,,"['image', 'text']"
7,google/siglip-base-patch16-512,753a949581523b60257d93e18391e8c27f72eb22,2024-01-08,['eng-Latn'],"functools.partial(<class 'mteb.models.siglip_models.SiglipModelWrapper'>, model_name='google/siglip-base-patch16-512')",204000000,777.0,64.0,768,apache-2.0,True,https://github.com/google-research/big_vision/blob/main/big_vision/trainers/proj/image_text/siglip.py,,['PyTorch'],https://huggingface.co/google/siglip-base-patch16-512,,False,{},,,,"['image', 'text']"
8,laion/CLIP-ViT-L-14-laion2B-s32B-b82K,1627032197142fbe2a7cfec626f4ced3ae60d07a,2022-09-15,['eng-Latn'],"functools.partial(<function openclip_loader at 0x7f7d686dfb00>, model_name='laion/CLIP-ViT-L-14-laion2B-s32B-b82K')",428000000,1631.0,77.0,768,mit,True,https://github.com/mlfoundations/open_clip,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-L-14-laion2B-s32B-b82K,,False,{},,,,"['image', 'text']"
9,google/siglip-base-patch16-384,41aec1c83b32e0a6fca20ad88ba058aa5b5ea394,2024-01-08,['eng-Latn'],"functools.partial(<class 'mteb.models.siglip_models.SiglipModelWrapper'>, model_name='google/siglip-base-patch16-384')",203000000,776.0,64.0,768,apache-2.0,True,https://github.com/google-research/big_vision/blob/main/big_vision/trainers/proj/image_text/siglip.py,,['PyTorch'],https://huggingface.co/google/siglip-base-patch16-384,,False,{},,,,"['image', 'text']"
10,laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K,d110532e8d4ff91c574ee60a342323f28468b287,2023-04-26,['eng-Latn'],"functools.partial(<function openclip_loader at 0x7f7d686dfb00>, model_name='laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K')",150000000,572.0,77.0,512,mit,True,https://github.com/mlfoundations/open_clip,https://huggingface.co/datasets/mlfoundations/datacomp_1b,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K,,False,{},,,,"['image', 'text']"
