,name,revision,release_date,languages,loader,n_parameters,memory_usage_mb,max_tokens,embed_dim,license,open_weights,public_training_code,public_training_data,framework,reference,similarity_fn_name,use_instructions,training_datasets,adapted_from,superseded_by,is_cross_encoder,modalities
0,QuanSun/EVA02-CLIP-bigE-14-plus,11afd202f2ae80869d6cef18b1ec775e79bd8d12,2023-04-26,['eng-Latn'],"functools.partial(<function evaclip_loader at 0x33a130e00>, model_name='EVA02-CLIP-bigE-14-plus')",5000000000,19073.0,77.0,1024,mit,True,https://github.com/baaivision/EVA/tree/master/EVA-CLIP,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/QuanSun/EVA-CLIP,,False,{},,,,"['image', 'text']"
1,laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,bc7788f151930d91b58474715fdce5524ad9a189,2023-01-23,['eng-Latn'],"functools.partial(<function openclip_loader at 0x33a199760>, model_name='laion/CLIP-ViT-bigG-14-laion2B-39B-b160k')",2540000000,9689.0,77.0,1280,mit,True,https://github.com/mlfoundations/open_clip,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,,False,{},,,,"['image', 'text']"
2,QuanSun/EVA02-CLIP-bigE-14,11afd202f2ae80869d6cef18b1ec775e79bd8d12,2023-04-26,['eng-Latn'],"functools.partial(<function evaclip_loader at 0x33a130e00>, model_name='EVA02-CLIP-bigE-14')",4700000000,17929.0,77.0,1024,mit,True,https://github.com/baaivision/EVA/tree/master/EVA-CLIP,https://laion.ai/blog/laion-5b/,['PyTorch'],https://huggingface.co/QuanSun/EVA-CLIP,,False,{},,,,"['image', 'text']"
