                                          accuracy      precision         recall             f1
model                                                                                          
CLIP-ViT-B-16-DataComp.XL-s13B-b90K  0.925 (0.004)  0.913 (0.005)  0.928 (0.003)  0.919 (0.004)
CLIP-ViT-L-14-DataComp.XL-s13B-b90K  0.936 (0.011)  0.926 (0.013)  0.942 (0.007)  0.932 (0.011)
CLIP-ViT-bigG-14-laion2B-39B-b160k   0.956 (0.012)  0.950 (0.016)  0.957 (0.007)  0.953 (0.013)
dinov2-base                          0.905 (0.008)  0.892 (0.009)  0.910 (0.005)  0.898 (0.007)
dinov2-giant                         0.917 (0.008)  0.904 (0.009)  0.923 (0.007)  0.911 (0.009)
eva02_clip_336                       0.955 (0.004)  0.948 (0.006)  0.956 (0.004)  0.952 (0.005)
siglip-base-patch16-224              0.920 (0.006)  0.908 (0.008)  0.924 (0.003)  0.914 (0.005)
siglip-large-patch16-384             0.946 (0.002)  0.936 (0.003)  0.948 (0.003)  0.941 (0.002)
siglip-so400m-patch14-384            0.959 (0.008)  0.952 (0.011)  0.962 (0.004)  0.956 (0.008)
